PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,TOTAL
CV - Casa Verde,11.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,29.7,30.0,20.9,6.0,4.3,0.0,5.5,0.0,22.1,0.0,5.0,0.0,0.0,0.0,7.5,5.8,3.5,1.4,10.2,0.0,0.0,197.9
FO - Freguesia do Ó,6.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,9.6,19.5,6.7,0.2,0.0,0.0,0.0,25.0,0.0,2.0,0.0,1.5,0.0,2.0,17.0,2.7,7.0,79.1,0.0,0.0,208.50000000000003
JT - Jaçanã / Tremembé,3.8,1.9,0.0,0.0,0.0,0.0,6.5,0.5,0.2,4.9,43.4,14.5,1.4,2.5,0.0,0.0,19.1,0.0,2.9,0.0,1.0,0.0,7.5,11.1,13.1,0.9,26.4,0.0,0.0,161.6
MG - Vl. Maria / Guilherme,0.2,0.4,0.0,0.0,0.0,0.0,12.4,0.2,0.0,6.2,37.8,18.4,11.0,0.0,0.0,0.0,19.4,0.0,3.0,0.0,2.0,0.0,0.8,12.8,23.0,0.2,5.4,0.0,0.0,153.2
PJ - Pirituba / Jaraguá,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,24.5,31.400000000000002,6.5,1.2,0.0,0.0,0.0,7.1,1.0,3.7,0.8,2.4,0.0,29.0,9.7,0.0,19.8,1.3,0.0,0.0,139.10000000000002
PR - Perus,0.3,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.1,9.4,18.1,6.9,1.2999999999999998,0.0,0.0,0.0,15.0,0.0,1.7,0.0,5.699999999999999,2.7,10.2,0.0,0.0,0.0,3.7,0.0,0.0,90.10000000000001
