PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - DEZEMBRO- 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL,
CV - Casa Verde,14.5,2.0,0.0,0.0,0.8,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.8999999999999995,39.6,2.0,14.2,0.0,25.5,6.5,4.5,3.0,0.0,5.0,0.0,0.0,8.0,0.0,32.0,19.4,0.0,190.9,
FO - Freguesia do Ó,8.0,8.9,0.0,0.0,0.0,53.5,0.0,35.0,0.0,0.0,0.0,0.0,4.0,14.5,37.6,7.5,28.75,2.3,12.9,5.8,21.5,3.0,10.8,3.2,0.0,0.0,20.0,0.0,78.3,6.9,5.1,367.55000000000007,
JT - Jaçanã / Tremembé,1.8,34.7,0.5,0.0,0.8,1.2,0.0,51.1,0.0,0.0,0.0,0.0,1.4,61.8,31.8,6.300000000000001,8.0,2.0,27.9,22.4,21.1,6.2,10.2,19.0,0.0,0.0,2.9,0.0,14.2,27.1,0.0,352.40000000000003,
MG - Vl. Maria / Guilherme,6.86,18.19,0.0,0.0,0.1,28.9,0.0,19.1,0.0,0.0,0.0,0.0,10.1,69.1,46.3,5.4,15.77,0.0,33.43,38.6,26.3,5.11,3.36,22.830000000000002,0.0,0.0,2.8,0.0,40.0,21.560000000000002,0.0,413.81000000000006,
PJ - Pirituba / Jaraguá,7.4,3.5999999999999996,0.0,0.0,0.0,5.0,0.0,4.6,0.0,0.0,0.0,0.0,4.2,16.2,33.1,8.9,24.1,0.0,44.0,8.8,9.0,1.15,1.3,0.0,0.0,0.0,33.0,0.0,16.8,33.9,0.0,255.05000000000004, 
