Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - JANEIRO - 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL
CV - Casa Verde,0.0,0.0,2.0,0.0,0.0,0.2,0.0,30.0,5.9,3.5,0.0,12.0,8.3,27.5,0.3,29.0,0.0,0.0,36.2,0.0,0.0,0.0,0.0,3.5,3.0,5.8,0.0,0.0,0.0,0.0,0.0,167.20000000000002
FO - Freguesia do Ó,0.0,0.0,3.0,0.0,26.2,0.2,0.0,5.2,15.4,1.3,0.0,8.3,8.4,21.6,0.7,26.3,0.0,5.5,19.8,0.0,0.0,0.0,5.9,0.0,8.4,13.2,0.0,0.0,0.0,0.0,0.0,169.4
JT - Jaçanã / Tremembé,0.0,1.4,1.5,0.0,0.0,0.0,0.0,14.8,6.3,13.600000000000001,0.0,14.2,4.6,3.3,7.4,16.5,0.0,0.0,6.4,0.0,3.4,0.0,34.7,0.0,2.8,2.0,0.0,0.3,0.0,0.0,0.0,133.20000000000005
MG - Vl. Maria / Guilherme,0.0,0.5,2.2,0.0,0.0,0.25,0.0,15.73,9.5,7.890000000000001,0.0,17.5,10.459999999999999,14.66,8.32,23.43,0.0,0.0,18.6,0.0,1.5,0.0,13.5,3.0999999999999996,11.66,4.16,0.0,0.0,0.0,0.0,0.0,162.95999999999998
PJ - Pirituba / Jaraguá,0.0,4.0,1.8,0.0,2.1,0.0,0.0,4.5,11.0,4.7,0.0,16.6,11.0,10.4,0.7,21.999999999999996,0.0,0.0,3.2,0.0,0.6,0.0,10.0,0.0,3.6,11.8,2.3,0.0,0.0,0.0,0.0,120.3
PR - Perus,0.0,0.0,1.5,0.0,0.0,0.3,0.0,2.6,10.4,8.700000000000001,0.0,17.5,16.1,9.5,6.300000000000001,11.500000000000002,0.0,0.0,10.0,0.0,1.2000000000000002,0.0,6.5,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,104.5
ST - Santana,0.0,0.0,1.8,0.0,1.1,0.2,0.0,19.0,13.4,6.3,0.0,15.5,10.1,6.5,7.4,27.3,0.0,0.0,6.4,0.0,0.8,0.0,3.0,6.3,0.5,3.9000000000000004,0.9,0.1,0.0,0.0,0.0,130.5
COMDEC - Carandirú,0.0,0.0,3.4000000000000004,0.0,2.5,0.3,0.0,13.4,8.8,3.7,0.0,23.4,16.5,34.400000000000006,10.299999999999999,26.6,0.0,0.0,43.0,0.0,2.8,0.0,2.9,3.2,31.7,6.7,0.4,0.0,0.0,0.0,0.0,234
PRECIPITAÇÃO MÉDIA - ZN,0.0,0.7375,2.1500000000000004,0.0,3.9875000000000003,0.18125,0.0,13.15375,10.0875,6.211250000000001,0.0,15.625,10.682500000000001,15.982500000000002,5.177499999999999,22.82875,0.0,0.6875,17.950000000000003,0.0,1.2875,0.0,9.5625,2.0124999999999997,7.9575,5.995,0.44999999999999996,0.05,0.0,0.0,0.0,152.7575
AF - Aricanduva / Vl. Formosa,0.0,0.0,4.6,0.0,0.0,0.6,0.0,27.0,4.2,8.8,0.0,2.6,8.2,8.6,14.7,15.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,2.0,13.0,3.0,0.6,0.0,0.0,0.0,0.0,117.6
EM - Ermelino Matarazo,0.0,0.0,1.2,0.0,3.7,4.3,0.0,5.1,1.5,13.850000000000001,0.0,15.7,9.200000000000001,2.0,6.3999999999999995,11.8,0.1,0.0,10.8,0.0,1.0,0.0,0.9,0.5,0.8,6.0,0.0,0.0,0.0,0.0,0.0,94.85
GU - Guaianazes,0.1,0.0,2.8,0.0,2.0,18.9,0.0,15.7,1.8,20.1,0.0,11.2,16.3,0.9,5.699999999999999,26.499999999999996,0.0,0.0,0.0,0.0,0.9,0.0,0.0,2.8,0.5,4.85,1.0,0.0,0.0,0.0,0.0,132.05
IQ - Itaquera,0.0,0.0,1.9,0.0,5.0,7.3,0.0,15.17,8.3,23.9,0.0,11.799999999999999,9.8,0.6,6.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.5,1.9,0.0,0.0,0.0,0.0,0.0,112.07000000000001
IT - Itaim Paulista,1.0,16.4,0.3,0.0,20.0,11.4,0.0,33.0,86.1,37.0,0.0,20.1,20.2,0.0,39.8,26.3,0.0,0.0,55.1,0.0,0.6000000000000001,0.0,0.0,0.0,0.8,3.5,0.0,0.0,0.0,0.0,0.0,371.6
MO - Móoca,1.2,0.0,3.1,0.0,0.0,0.4,0.0,53.4,3.0,4.2,0.0,13.3,8.4,15.100000000000001,8.0,15.599999999999998,0.0,9.0,8.8,0.0,0.0,0.0,0.0,1.5,9.2,6.8,0.6,0.0,0.0,0.0,0.0,161.6
