PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SIURB - Secretaria de Infra-Estrutura Urbana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - FEVEREIRO - 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,TOTAL
CV - Casa Verde,2.0,9.100000000000001,15.0,7.5,19.2,12.5,2.8,0.0,8.0,0.0,0.0,0.0,0.0,0.4,19.0,26.9,5.9,11.5,0.0,0.2,0.0,0.0,1.8,5.5,29.0,0.2,0.0,0.0,176.5
FO - Freguesia do Ó,2.5,2.4,28.8,5.1,18.3,11.5,0.8,0.0,7.3,0.0,6.0,0.0,0.0,2.4,26.3,11.3,8.4,9.5,0.0,0.0,0.0,0.0,0.0,9.1,36.400000000000006,10.2,0.0,3.9,200.2
JT - Jaçanã / Tremembé,0.4,3.7,8.6,0.4,33.300000000000004,8.0,3.5,0.0,12.799999999999999,1.0,1.1,0.0,0.0,11.6,18.8,24.200000000000003,12.1,5.5,0.3,0.0,0.0,0.0,0.0,11.3,31.3,3.0,0.0,2.2,193.10000000000002
MG - Vl. Maria / Guilherme,0.8,3.4000000000000004,0.0,1.4,16.4,9.8,5.8999999999999995,0.0,8.6,0.4,1.4,0.0,0.0,16.2,7.0,25.400000000000002,27.0,6.3999999999999995,0.0,0.0,0.0,0.0,0.0,2.6,85.4,0.0,0.0,3.3,221.4
PJ - Pirituba / Jaraguá,5.0,4.0,4.0,9.0,17.3,6.1,0.0,0.0,5.0,2.0,0.5,0.0,0.0,1.5,33.5,24.3,14.0,13.6,0.0,0.2,0.0,0.0,0.2,7.0,29.0,0.0,0.6,17.7,194.49999999999997
PR - Perus,0.5,1.2,8.0,9.4,17.400000000000002,15.5,0.5,0.0,9.0,0.2,0.0,0.0,0.0,0.0,20.3,10.7,6.799999999999999,12.700000000000001,0.5,0.2,0.0,0.0,0.0,0.0,16.5,7.2,4.6,3.7,144.89999999999998
