PREFEITURA DO MUNICÍPIO DE SÃO PAULO,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
SMSO - Secretaria Municipal de Serviços e Obras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOLETIM PLUVIOMÉTRICO MENSAL - DEZEMBRO - 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,TOTAL,,
CV - Casa Verde,40.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,8.2,0.0,0.0,0.6,0.0,8.2,2.6,0.0,0.0,0.0,20.799999999999997,8.2,0.0,0.0,0.0,4.6,0.0,0.0,0.0,94.2,,
FO - Freguesia do Ó,49.099999999999994,0.8,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.5,0.0,46.0,5.3,0.0,1.2,0.0,18.6,6.7,1.0,0.0,0.0,5.8,0.0,0.0,0.0,145.7,,
JT - Jaçanã / Tremembé,48.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.5,10.3,2.2,0.0,5.8,0.0,10.8,18.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,127.69999999999999,,
MG - Vl. Maria / Guilherme,39.4,0.6000000000000001,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.8,0.0,0.0,2.4000000000000004,0.0,8.0,9.2,0.0,0.0,0.0,11.6,3.8000000000000003,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,93.8,,
PJ - Pirituba / Jaraguá,35.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,8.2,0.0,9.7,2.8000000000000003,0.0,0.0,0.0,29.6,2.4000000000000004,0.0,0.0,0.0,10.0,0.0,0.0,0.0,99.5,,
PR - Perus,53.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,94.0,14.4,0.0,10.0,0.0,38.6,5.4,0.0,0.0,0.0,2.4,0.0,0.0,0.0,222.60000000000002,,
ST - Santana,37.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,11.0,0.1,21.43,30.9,0.0,4.6,0.0,13.36,9.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,139.04999999999998,,
COMDEC - Carandirú,15.8,0.6,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,18.0,0.0,0.0,1.6,0.0,14.8,2.4,0.0,0.0,0.0,22.13,5.2,0.4,0.0,0.0,3.2,0.0,0.0,0.0,90.73000000000002,,
PRECIPITAÇÃO MÉDIA - ZN,39.895,0.575,0.1,0.0,0.9125,0.0,0.0,0.0,0.0,0.0,0.0,0.7,7.775,0.0,0.0,6.7875000000000005,0.075,26.55375,8.725000000000001,0.0,2.7,0.0,20.68625,7.4624999999999995,0.175,0.0,0.0,3.5374999999999996,0.0,0.0,0.0,126.66,,
AF - Aricanduva / Vl. Formosa,23.0,1.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0,22.200000000000003,9.2,23.0,0.8,0.0,0.0,0.0,14.2,1.8,0.4,0.0,0.0,2.0,1.0,0.0,0.0,142,,
EM - Ermelino Matarazzo,37.4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,7.5,13.95,0.3,0.0,0.0,1.2,17.200000000000003,4.8999999999999995,0.0,0.0,0.0,1.2,0.0,0.0,0.0,88.75,,
GU - Guaianazes,14.2,2.8,0.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.8,0.0,2.0,0.0,3.6,10.6,0.2,0.0,0.0,2.8,14.6,4.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,81.4,,
IQ - Itaquera,17.599999999999998,1.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.8,0.4,0.0,2.0,0.0,1.2,18.3,0.3,0.0,0.0,0.8,12.399999999999999,3.9,0.0,0.0,0.0,8.8,0.0,0.0,0.0,71.29999999999998,,
IT - Itaim Paulista,34.0,1.0,0.2,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.2,10.4,0.0,4.2,3.2,9.5,22.8,0.0,0.0,0.0,0.2,19.200000000000003,8.8,0.0,0.0,0.0,2.5,0.0,0.0,0.0,116.90000000000002,,
MO - Móoca,29.4,0.4,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,11.4,0.0,0.0,7.4,0.0,23.0,18.4,0.0,0.8,0.0,10.4,2.2,0.0,0.0,0.0,3.4,0.0,0.0,0.0,107.80000000000001,,
